CustomerID,LastTrans,FirstTrans,LastTransCost,SizeLastTrans,NoTrans,TimePeriod,TransPerUnitTime,NoOfTrans,CostPerUnitTime,CostPerTrans,TotalCost,SizePerUnitTime,SizePerTrans,Churn
MzEzMjAyODI,34,36,9789,45,3,3,1.0,3,26.666666666666668,26.666666666666668,80,5773.666666666667,5773.666666666667,1
MzEzMjAyODM,34,36,4344,20,3,3,1.0,3,21.666666666666668,21.666666666666668,65,4653.666666666667,4653.666666666667,1
MzEzMjAyODQ,34,36,1514,7,3,3,1.0,3,17.666666666666668,17.666666666666668,53,3821.6666666666665,3821.6666666666665,1
MzEzMjAzNTY,35,36,163184,1209,2,2,1.0,2,849.5,849.5,1699,113371.0,113371.0,1
MzEzMjAzNjU,34,36,8616,40,3,3,1.0,3,23.333333333333332,23.333333333333332,70,5037.0,5037.0,1
MzEzMjAzNjY,34,35,1721,8,2,2,1.0,2,5.5,5.5,11,1187.0,1187.0,1
MzEzMjAzNjc,34,36,12952,61,3,3,1.0,3,50.666666666666664,50.666666666666664,152,10756.666666666666,10756.666666666666,1
MzEzMjAzNjg,34,35,8684,40,2,2,1.0,2,35.0,35.0,70,7539.0,7539.0,1
MzEzMjAzNjk,34,36,7738,36,3,3,1.0,3,33.0,33.0,99,7038.333333333333,7038.333333333333,1
MzEzMjAzNzA,34,35,14986,70,2,2,1.0,2,55.0,55.0,110,11869.5,11869.5,1
MzEzMjAzNzE,34,36,2152,10,3,3,1.0,3,14.666666666666666,14.666666666666666,44,3263.0,3263.0,1
MzEzMjAzNzI,34,36,21543,100,3,3,1.0,3,61.0,61.0,183,13074.0,13074.0,1
MzEzMjA0Njk,36,36,62780,199,1,1,1.0,1,199.0,199.0,199,62780.0,62780.0,1
MzEzMjA1NjI,34,36,62077,99,2,3,0.6666666666666666,2,60.666666666666664,91.0,182,37466.666666666664,56200.0,1
MzEzMjA2MDc,34,36,122553,1001,3,3,1.0,3,872.3333333333334,872.3333333333334,2617,113461.66666666667,113461.66666666667,1
MzEzMjA2Mzk,35,36,55340,468,2,2,1.0,2,395.0,395.0,790,44745.0,44745.0,1
MzEzMjA3MDU,34,36,352179,484,3,3,1.0,3,406.3333333333333,406.3333333333333,1219,298331.6666666667,298331.6666666667,1
MzEzMjA3Nzc,34,36,47088,449,3,3,1.0,3,310.3333333333333,310.3333333333333,931,32777.666666666664,32777.666666666664,1
MzEzMjA3ODI,34,36,31513,299,2,3,0.6666666666666666,2,155.0,232.5,465,16666.333333333332,24999.5,1
MzEzMjA3ODU,34,36,6219,60,3,3,1.0,3,125.0,125.0,375,14132.666666666666,14132.666666666666,1
MzEzMjA3ODc,34,36,22690,216,3,3,1.0,3,181.33333333333334,181.33333333333334,544,19028.666666666668,19028.666666666668,1
